URL,Title,Address
https://newyork.craigslist.org/que/egr/d/queens-village-xactimate-estimator/6930315309.html,Xactimate Estimator Level 2 or 3,Queens Village
https://newyork.craigslist.org/brk/egr/d/brooklyn-drafter-surveyor/6930266166.html,DRAFTER/ SURVEYOR,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction-project/6930215140.html,Construction Project Manager for NYC University,Upper West Side
https://newyork.craigslist.org/wch/egr/d/harrison-estimator-concrete-foundation/6930189838.html,**Estimator-Concrete/foundation/Excavation/Drilling/Super Structure**,Westchester County
https://newyork.craigslist.org/que/egr/d/construction-estimator/6930167441.html,Construction Estimator,NYC
https://newyork.craigslist.org/brk/egr/d/brooklyn-architect/6930164538.html,Architect,Broolyn
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6930160048.html,Intermediate Architect Position,Flatiron
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-lighting/6930115986.html,Architectural Lighting Designer,Midtown
https://newyork.craigslist.org/que/egr/d/project-architects/6929863743.html,Project Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designer/6929492101.html,Mechanical Designer / Mechatronic Engineer,
https://newyork.craigslist.org/que/egr/d/long-island-city-ad-for-draftsman/6929363543.html,AD FOR DRAFTSMAN,
https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6929235583.html,Junior Architectural Designer,Midtown
https://newyork.craigslist.org/mnh/egr/d/woburn-dakota-designstaff-rhode-island/6929197254.html,Dakota DesignStaff Rhode Island Openings,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6929080650.html,DOB Filing Representative- Freelance,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dobarchitectural/6929079329.html,NYC DOB_Architectural Services- filing set_ Freelancer,Midtown
https://newyork.craigslist.org/brk/egr/d/brooklyn-nys-registered-architect/6928666080.html,NYS Registered Architect,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-project/6928624053.html,INTERMEDIATE PROJECT ARCHITECT,Chelsea
https://newyork.craigslist.org/mnh/egr/d/new-york-city-residential-interior/6928332789.html,Residential Interior Designer+Project Manager w/10 min 10 yrs exp,Midtown East
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-hvac/6927369698.html,Project Manager (HVAC),"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-engineer-needed/6927122016.html,Engineer needed,Midtown East
https://newyork.craigslist.org/brk/egr/d/brooklyn-interiors-architect-temporary/6927114240.html,Interiors Architect | Temporary Opportunity,"Brooklyn, NY"
https://newyork.craigslist.org/que/egr/d/ozone-park-expediter-seeks-class-1-or-2/6927015810.html,Expediter Seeks Class 1 or 2 Filing Rep (All Boroughs),
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-structural-engineer/6926529925.html,Junior Structural engineer,Flatiron
https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/6926514249.html,ARCHITECT Senior/ Intermediate/ Junior,QUEENS
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-designers/6926413971.html,Mechanical Designers,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-high-end-residential/6926302825.html,High End Residential Interior Architect/Designer/Assistant PM,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6926218402.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6926217734.html,Facade / Building Envelope Project Architect,TriBeCa
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6926173496.html,Construction Project Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-job-captain/6926114458.html,Architectural Job Captain,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-city-jr-architect/6926106740.html,Jr. Architect,Midtown East
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-designer-per/6925972928.html,Interior Designer per project basis,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-city-handyman-needed-the/6925943607.html,HANDYMAN NEEDED @ The Jewish Board,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-columbia-university-needs/6925925288.html,COLUMBIA UNIVERSITY NEEDS YOU!!!,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-plumbing-fire-protection/6925776656.html,Plumbing/Fire Protection Engineer,New York City
https://newyork.craigslist.org/mnh/egr/d/new-york-city-interior-architect-or/6925696092.html,INTERIOR ARCHITECT OR INTERIOR DESIGNER,New York City
https://newyork.craigslist.org/que/egr/d/elmhurst-engineers-architects-inspectors/6925473074.html,"Engineers, Architects & Inspectors",Queens and Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-hotels/6925410808.html,Project Manager – Hotels and Restaurants – New York City,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-city-gc-construction-assistant/6925406180.html,GC Construction Assistant Project Manager,Midtown West
https://newyork.craigslist.org/mnh/egr/d/forest-hills-professional-engineers/6925377951.html,PROFESSIONAL ENGINEERS,"New York, New York"
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6925330540.html,Intermediate Architect,SoHo
https://newyork.craigslist.org/que/egr/d/whitestone-architectural-field/6925231321.html,Architectural Field Representative,"18-25 212th Street, Queens, NY"
https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6925162264.html,Structural Engineer,"Queens, NY"
https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/6925138555.html,Drafter,Ridgewood
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6925121678.html,Architectural Designer,SoHo
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6924986513.html,Architect,
https://newyork.craigslist.org/wch/egr/d/port-chester-freelance-interior/6924981297.html,Freelance Interior/Architectural Drafter,NYC-Metro Area
https://newyork.craigslist.org/lgi/egr/d/roslyn-hiring-kitchen-designer-autocad/6924813594.html,(HIRING) Kitchen Designer / AutoCAD,Roslyn NY
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6924792508.html,JUNIOR ARCHITECT,Flatiron
https://newyork.craigslist.org/mnh/egr/d/astoria-project-manager-kitchen-bath/6924531338.html,Project Manager / Kitchen & Bath Designer,New York City
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-3-5-years/6924526348.html,Architect (3-5 years experience),Downtown
https://newyork.craigslist.org/lgi/egr/d/huntington-engineers-architects-with/6924524123.html,Engineers & Architects with N.Y.S.  Home Inspection License,"Nassau, Suffolk & Queens Counties"
https://newyork.craigslist.org/lgi/egr/d/flushing-engineers-architects-with-home/6924521883.html,Engineers & Architects with Home Inspection License,"Queens, Nassau & Suffolk Counties"
https://newyork.craigslist.org/brk/egr/d/drafter-position-bilingual-russian/6924311603.html,Drafter Position - Bilingual Russian,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-proficient-in/6924241723.html,Architect (proficient in Revit),Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-city-fire-protection-life/6924105496.html,Fire Protection / Life Safety Special Inspector,Midtown
https://newyork.craigslist.org/fct/egr/d/exciting-3d-graphic-drafting-computer/6923261735.html,"Exciting 3D Graphic & Drafting, Computer Wiz","Riverside, CT"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-project-manager/6922938341.html,"Architect, Project Manager, Code & Zoning",Greenwich Village
https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-architectural/6922686200.html,Entry Level Architectural Designer,"New York, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6922683468.html,Intermediate Architect Position,New York
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6922602969.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6922600888.html,Facade / Building Envelope Project Architect,TriBeCa
https://newyork.craigslist.org/brk/egr/d/brooklyn-use-lego-to-teach-kids/6922565748.html,Use LEGO® to teach kids engineering concepts!,
https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for-immediate-hire/6922485037.html,Autocad person wanted for immediate hire!!!,College point
https://newyork.craigslist.org/brx/egr/d/bronx-cad-estimator/6922384618.html,Cad/ Estimator,"Bronx, NY"
https://newyork.craigslist.org/lgi/egr/d/oyster-bay-junior-architect/6922373566.html,Junior Architect,OYSTER BAY
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-engineer/6922372681.html,Mechanical Engineer,Tampa
https://newyork.craigslist.org/fct/egr/d/greenwich-civil-engineer/6922185084.html,Civil Engineer,"Greenwich, CT"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-for-bim/6922111814.html,Architect for BIM Healthcare Project,Downtown
https://newyork.craigslist.org/mnh/egr/d/long-island-city-super-foreman/6921996687.html,Super/ Foreman - Foundations & Superstructure,nyc
https://newyork.craigslist.org/mnh/egr/d/long-island-city-project-manager-apms/6921996217.html,Project Manager & APMs Required - Concrete,
https://newyork.craigslist.org/brk/egr/d/brooklyn-kitchen-installer-helper-driver/6921950745.html,KITCHEN INSTALLER / HELPER DRIVER,BROOKLYN
https://newyork.craigslist.org/brk/egr/d/brooklyn-kitchen-designer-sales/6921940328.html,kitchen designer +sales,BROOKLYN
https://newyork.craigslist.org/fct/egr/d/architectural-position-revit-user-needed/6921928707.html,Architectural Position. REVIT user needed,CT / NYC
https://newyork.craigslist.org/mnh/egr/d/new-york-city-freelance-filing/6921652220.html,Freelance Filing Representative - Expediter,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-expediter/6921497052.html,Expediter,SoHo
https://newyork.craigslist.org/que/egr/d/ridgewood-millwork-draftsman-project/6921453494.html,Millwork draftsman/ Project Manager,Glendale- Queesn
https://newyork.craigslist.org/que/egr/d/brooklyn-architectural-construction/6921436241.html,Architectural Construction Admin/ Field Representative (18-24 months),Brooklyn/Staten Island
https://newyork.craigslist.org/brk/egr/d/brooklyn-administrator-assistant/6921431367.html,Administrator/ Assistant Project Manager and Office Manager,park slope
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6920991461.html,Junior Architect | Residential,Midtown
https://newyork.craigslist.org/brk/egr/d/brooklyn-business-partner-or-ownership/6920865402.html,Business Partner or Ownership in Small Construction Inspection Company,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-structural-engineer-needed/6920746867.html,Structural Engineer Needed,Midtown
https://newyork.craigslist.org/que/egr/d/rego-park-assistant-project-manager/6920734538.html,Assistant Project Manager - Electrical Contractor,Queens
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6920565839.html,Junior Architect,Upper West Side
https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6920437675.html,DOB Filing Representative- Freelance,Midtown
https://newyork.craigslist.org/lgi/egr/d/floral-park-electronic-assembler/6920096439.html,Electronic Assembler,Floral Park
https://newyork.craigslist.org/mnh/egr/d/new-york-city-lead-project-architect/6920034481.html,"Lead Project Architect / ""Starchitect"" Designed Towers",
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-mechanical/6920000901.html,Senior Mechanical Engineer (9+ years),SoHo
https://newyork.craigslist.org/brk/egr/d/brooklyn-hvac-counter-sales-customer/6919919992.html,HVAC Counter Sales / Customer Service / Estimator,Park Slope
https://newyork.craigslist.org/que/egr/d/astoria-cad-operater-mep/6919869122.html,CAD operater / MEP,"Astoria, NY"
https://newyork.craigslist.org/que/egr/d/architect-autocad/6919828019.html,Architect AutoCAD,Maspeth
https://newyork.craigslist.org/que/egr/d/seeking-intermediate-level-architects/6919473983.html,Seeking Intermediate Level Architects,Queens
https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-draftsperson/6919299507.html,ARCHITECTURAL DRAFTSPERSON,BROOKLYN
https://newyork.craigslist.org/que/egr/d/long-island-city-look-for-structural/6919290557.html,Look for a structural/geotechnical/civil engineer,
https://newyork.craigslist.org/que/egr/d/corona-architectural-plan-and-elevation/6919284517.html,Architectural plan and elevation for as-built conditions,junction blvd
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-estimator-for/6919282501.html,Senior Estimator for General Contracting Company,Midtown West
https://newyork.craigslist.org/brk/egr/d/brooklyn-architect/6919265534.html,ARCHITECT,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6919249666.html,Facade / Building Envelope Project Architect,TriBeCa
https://newyork.craigslist.org/que/egr/d/maspeth-cad-draftsmen/6919192838.html,CAD Draftsmen,Queens
https://newyork.craigslist.org/que/egr/d/electrical-cad-drafstman/6919158338.html,ELECTRICAL CAD DRAFSTMAN,RICHMOND HILL
https://newyork.craigslist.org/que/egr/d/long-island-city-cad-operator-drafter/6919141423.html,CAD Operator / Drafter,Long Island City
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-engineer/6919136179.html,MECHANICAL ENGINEER,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-project-manager/6919134946.html,SENIOR PROJECT MANAGER,Midtown
https://newyork.craigslist.org/brx/egr/d/bronx-estimator-required/6918120665.html,Estimator required,Bronx
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6917487182.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-intermediate/6917320157.html,Junior/Intermediate Architect,
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-engineer/6917205747.html,Mechanical Engineer,Tampa
https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-engineer/6917201550.html,Mechanical Engineer,Tampa
https://newyork.craigslist.org/brk/egr/d/brooklyn-residential-remodeling/6917152429.html,RESIDENTIAL REMODELING CONSTRUCTION MANAGER,BROOKLYN/ LIC
https://newyork.craigslist.org/mnh/egr/d/new-york-city-career-opportunity-in/6917130036.html,Career Opportunity in Engineering for Immigrant Professionals,New York
https://newyork.craigslist.org/mnh/egr/d/hicksville-concrete-testing-field/6917119688.html,Concrete Testing Field Inspector,hicksville
https://newyork.craigslist.org/brk/egr/d/brooklyn-nyc-dob-class-1-or-2-filing/6917082443.html,NYC DOB Class 1 or 2 Filing Representative,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-special-inspector-concrete/6917081682.html,Special Inspector (Concrete),
https://newyork.craigslist.org/que/egr/d/springfield-gardens-construction-field/6917049066.html,Construction Field Assistant,Queens
https://newyork.craigslist.org/mnh/egr/d/new-york-city-floor-plan-measurer-as/6917005126.html,Floor Plan Measurer: AS-BUILT Drawings $50/hr,"New York, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-cad-draftsperson/6916761542.html,Senior CAD Draftsperson / Job Captain / Proj. Mgr.,New York City
https://newyork.craigslist.org/mnh/egr/d/new-york-city-sales-design-coordinator/6916606150.html,Sales & Design Coordinator,Chelsea
https://newyork.craigslist.org/mnh/egr/d/new-york-city-engineers/6916593889.html,Engineers – Retrocommissioning/Commissioning/Energy Analysis/HVAC Syst,Flatiron
https://newyork.craigslist.org/que/egr/d/field-electrical-technician/6916377548.html,Field Electrical Technician,"Queens, Brooklyn, NYC, Westchester County"
https://newyork.craigslist.org/stn/egr/d/staten-island-nyc-dob-class-1-filing/6916303380.html,NYC DOB Class 1 Filing Representative,Staten Island
